message,label
Get 20% off on your next purchase based on your recent order.,1
We have special offers for items you previously viewed!,1
Thanks for shopping with us! Here’s a discount code for your next purchase.,1
"Exclusive deal just for you! Buy 2, get 1 free on your favorite products.",1
Your recent shopping activity qualifies you for a special discount.,1
Flash sale on items similar to those you've bought before.,1
Unlock 10% off your next purchase with this code.,1
Don’t miss out on special deals on items related to your last purchase.,1
We’ve noticed you liked these items. Here’s a limited-time offer!,1
Exclusive offer on products you recently browsed.,1
Get 20% off on your next purchase based on your recent order.,1
We have special offers for items you previously viewed!,1
Thanks for shopping with us! Here’s a discount code for your next purchase.,1
"Exclusive deal just for you! Buy 2, get 1 free on your favorite products.",1
Your recent shopping activity qualifies you for a special discount.,1
Flash sale on items similar to those you've bought before.,1
Unlock 10% off your next purchase with this code.,1
Don’t miss out on special deals on items related to your last purchase.,1
We’ve noticed you liked these items. Here’s a limited-time offer!,1
Exclusive offer on products you recently browsed.,1
Get 20% off on your next purchase based on your recent order.,1
We have special offers for items you previously viewed!,1
Thanks for shopping with us! Here’s a discount code for your next purchase.,1
"Exclusive deal just for you! Buy 2, get 1 free on your favorite products.",1
Your recent shopping activity qualifies you for a special discount.,1
Flash sale on items similar to those you've bought before.,1
Unlock 10% off your next purchase with this code.,1
Don’t miss out on special deals on items related to your last purchase.,1
We’ve noticed you liked these items. Here’s a limited-time offer!,1
Exclusive offer on products you recently browsed.,1
Get 20% off on your next purchase based on your recent order.,1
We have special offers for items you previously viewed!,1
Thanks for shopping with us! Here’s a discount code for your next purchase.,1
"Exclusive deal just for you! Buy 2, get 1 free on your favorite products.",1
Your recent shopping activity qualifies you for a special discount.,1
Flash sale on items similar to those you've bought before.,1
Unlock 10% off your next purchase with this code.,1
Don’t miss out on special deals on items related to your last purchase.,1
We’ve noticed you liked these items. Here’s a limited-time offer!,1
Exclusive offer on products you recently browsed.,1
Get 20% off on your next purchase based on your recent order.,1
We have special offers for items you previously viewed!,1
Thanks for shopping with us! Here’s a discount code for your next purchase.,1
"Exclusive deal just for you! Buy 2, get 1 free on your favorite products.",1
Your recent shopping activity qualifies you for a special discount.,1
Flash sale on items similar to those you've bought before.,1
Unlock 10% off your next purchase with this code.,1
Don’t miss out on special deals on items related to your last purchase.,1
We’ve noticed you liked these items. Here’s a limited-time offer!,1
Exclusive offer on products you recently browsed.,1
Get 20% off on your next purchase based on your recent order.,1
We have special offers for items you previously viewed!,1
Thanks for shopping with us! Here’s a discount code for your next purchase.,1
"Exclusive deal just for you! Buy 2, get 1 free on your favorite products.",1
Your recent shopping activity qualifies you for a special discount.,1
Flash sale on items similar to those you've bought before.,1
Unlock 10% off your next purchase with this code.,1
Don’t miss out on special deals on items related to your last purchase.,1
We’ve noticed you liked these items. Here’s a limited-time offer!,1
Exclusive offer on products you recently browsed.,1
Get 20% off on your next purchase based on your recent order.,1
We have special offers for items you previously viewed!,1
Thanks for shopping with us! Here’s a discount code for your next purchase.,1
"Exclusive deal just for you! Buy 2, get 1 free on your favorite products.",1
Your recent shopping activity qualifies you for a special discount.,1
Flash sale on items similar to those you've bought before.,1
Unlock 10% off your next purchase with this code.,1
Don’t miss out on special deals on items related to your last purchase.,1
We’ve noticed you liked these items. Here’s a limited-time offer!,1
Exclusive offer on products you recently browsed.,1
Get 20% off on your next purchase based on your recent order.,1
We have special offers for items you previously viewed!,1
Thanks for shopping with us! Here’s a discount code for your next purchase.,1
"Exclusive deal just for you! Buy 2, get 1 free on your favorite products.",1
Your recent shopping activity qualifies you for a special discount.,1
Flash sale on items similar to those you've bought before.,1
Unlock 10% off your next purchase with this code.,1
Don’t miss out on special deals on items related to your last purchase.,1
We’ve noticed you liked these items. Here’s a limited-time offer!,1
Exclusive offer on products you recently browsed.,1
Get 20% off on your next purchase based on your recent order.,1
We have special offers for items you previously viewed!,1
Thanks for shopping with us! Here’s a discount code for your next purchase.,1
"Exclusive deal just for you! Buy 2, get 1 free on your favorite products.",1
Your recent shopping activity qualifies you for a special discount.,1
Flash sale on items similar to those you've bought before.,1
Unlock 10% off your next purchase with this code.,1
Don’t miss out on special deals on items related to your last purchase.,1
We’ve noticed you liked these items. Here’s a limited-time offer!,1
Exclusive offer on products you recently browsed.,1
Get 20% off on your next purchase based on your recent order.,1
We have special offers for items you previously viewed!,1
Thanks for shopping with us! Here’s a discount code for your next purchase.,1
"Exclusive deal just for you! Buy 2, get 1 free on your favorite products.",1
Your recent shopping activity qualifies you for a special discount.,1
Flash sale on items similar to those you've bought before.,1
Unlock 10% off your next purchase with this code.,1
Don’t miss out on special deals on items related to your last purchase.,1
We’ve noticed you liked these items. Here’s a limited-time offer!,1
Exclusive offer on products you recently browsed.,1
Please find attached your recent invoice.,0
Looking forward to our meeting tomorrow.,0
Your package has been dispatched and is on the way.,0
Reminder: Don’t forget to submit your timesheet.,0
Thank you for reaching out to customer support.,0
Your account has been updated as per your request.,0
The event starts at 5 PM; let us know if you have questions.,0
Hope you’re doing well. Please let us know if we can help.,0
We have received your feedback. Thank you!,0
Your subscription renewal is confirmed.,0
Please find attached your recent invoice.,0
Looking forward to our meeting tomorrow.,0
Your package has been dispatched and is on the way.,0
Reminder: Don’t forget to submit your timesheet.,0
Thank you for reaching out to customer support.,0
Your account has been updated as per your request.,0
The event starts at 5 PM; let us know if you have questions.,0
Hope you’re doing well. Please let us know if we can help.,0
We have received your feedback. Thank you!,0
Your subscription renewal is confirmed.,0
Please find attached your recent invoice.,0
Looking forward to our meeting tomorrow.,0
Your package has been dispatched and is on the way.,0
Reminder: Don’t forget to submit your timesheet.,0
Thank you for reaching out to customer support.,0
Your account has been updated as per your request.,0
The event starts at 5 PM; let us know if you have questions.,0
Hope you’re doing well. Please let us know if we can help.,0
We have received your feedback. Thank you!,0
Your subscription renewal is confirmed.,0
Please find attached your recent invoice.,0
Looking forward to our meeting tomorrow.,0
Your package has been dispatched and is on the way.,0
Reminder: Don’t forget to submit your timesheet.,0
Thank you for reaching out to customer support.,0
Your account has been updated as per your request.,0
The event starts at 5 PM; let us know if you have questions.,0
Hope you’re doing well. Please let us know if we can help.,0
We have received your feedback. Thank you!,0
Your subscription renewal is confirmed.,0
Please find attached your recent invoice.,0
Looking forward to our meeting tomorrow.,0
Your package has been dispatched and is on the way.,0
Reminder: Don’t forget to submit your timesheet.,0
Thank you for reaching out to customer support.,0
Your account has been updated as per your request.,0
The event starts at 5 PM; let us know if you have questions.,0
Hope you’re doing well. Please let us know if we can help.,0
We have received your feedback. Thank you!,0
Your subscription renewal is confirmed.,0
Please find attached your recent invoice.,0
Looking forward to our meeting tomorrow.,0
Your package has been dispatched and is on the way.,0
Reminder: Don’t forget to submit your timesheet.,0
Thank you for reaching out to customer support.,0
Your account has been updated as per your request.,0
The event starts at 5 PM; let us know if you have questions.,0
Hope you’re doing well. Please let us know if we can help.,0
We have received your feedback. Thank you!,0
Your subscription renewal is confirmed.,0
Please find attached your recent invoice.,0
Looking forward to our meeting tomorrow.,0
Your package has been dispatched and is on the way.,0
Reminder: Don’t forget to submit your timesheet.,0
Thank you for reaching out to customer support.,0
Your account has been updated as per your request.,0
The event starts at 5 PM; let us know if you have questions.,0
Hope you’re doing well. Please let us know if we can help.,0
We have received your feedback. Thank you!,0
Your subscription renewal is confirmed.,0
Please find attached your recent invoice.,0
Looking forward to our meeting tomorrow.,0
Your package has been dispatched and is on the way.,0
Reminder: Don’t forget to submit your timesheet.,0
Thank you for reaching out to customer support.,0
Your account has been updated as per your request.,0
The event starts at 5 PM; let us know if you have questions.,0
Hope you’re doing well. Please let us know if we can help.,0
We have received your feedback. Thank you!,0
Your subscription renewal is confirmed.,0
Please find attached your recent invoice.,0
Looking forward to our meeting tomorrow.,0
Your package has been dispatched and is on the way.,0
Reminder: Don’t forget to submit your timesheet.,0
Thank you for reaching out to customer support.,0
Your account has been updated as per your request.,0
The event starts at 5 PM; let us know if you have questions.,0
Hope you’re doing well. Please let us know if we can help.,0
We have received your feedback. Thank you!,0
Your subscription renewal is confirmed.,0
Please find attached your recent invoice.,0
Looking forward to our meeting tomorrow.,0
Your package has been dispatched and is on the way.,0
Reminder: Don’t forget to submit your timesheet.,0
Thank you for reaching out to customer support.,0
Your account has been updated as per your request.,0
The event starts at 5 PM; let us know if you have questions.,0
Hope you’re doing well. Please let us know if we can help.,0
We have received your feedback. Thank you!,0
Your subscription renewal is confirmed.,0
